step,loss,reward,reward_std,mean_length,min_length,max_length,clipped_ratio,mean_term_length,min_term_length,max_term_length,kl,format_exact,format_exact_std,format_approx,format_approx_std,check_action,check_action_std,check_env,check_env_std
104,0.000400,11.000000,0.000000,38.781250,25.000000,76.000000,0.000000,38.781250,25.000000,76.000000,0.425456,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
105,0.000400,11.000000,0.000000,37.500000,22.000000,57.000000,0.000000,37.500000,22.000000,57.000000,0.413560,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
106,0.025100,10.671875,0.928078,37.812500,24.000000,58.000000,0.000000,37.812500,24.000000,58.000000,0.457708,2.906250,0.530330,1.953125,0.265165,4.359375,0.795495,1.453125,0.265165
107,-0.003300,10.906250,0.265165,33.875000,25.000000,55.000000,0.000000,33.875000,25.000000,55.000000,0.533525,3.000000,0.000000,2.000000,0.000000,4.406250,0.530330,1.500000,0.000000
108,0.000300,11.000000,0.000000,36.312500,24.000000,55.000000,0.000000,36.312500,24.000000,55.000000,0.358150,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
109,0.000400,11.000000,0.000000,32.812500,24.000000,47.000000,0.000000,32.812500,24.000000,47.000000,0.433156,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
110,-0.001300,10.906250,0.265165,36.250000,25.000000,48.000000,0.000000,36.250000,25.000000,48.000000,1.610378,3.000000,0.000000,2.000000,0.000000,4.406250,0.530330,1.500000,0.000000
111,0.000500,11.000000,0.000000,35.531250,24.000000,62.000000,0.000000,35.531250,24.000000,62.000000,0.471914,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
112,0.000500,11.000000,0.000000,34.156250,24.000000,59.000000,0.000000,34.156250,24.000000,59.000000,0.495954,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
113,0.000500,11.000000,0.000000,33.406250,24.000000,47.000000,0.000000,33.406250,24.000000,47.000000,0.540152,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
114,0.000500,11.000000,0.000000,34.593750,25.000000,49.000000,0.000000,34.593750,25.000000,49.000000,0.488974,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
115,0.000400,11.000000,0.000000,36.281250,24.000000,52.000000,0.000000,36.281250,24.000000,52.000000,0.443641,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
116,0.001600,11.000000,0.000000,35.062500,24.000000,56.000000,0.000000,35.062500,24.000000,56.000000,1.486844,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
117,0.000400,11.000000,0.000000,37.125000,24.000000,55.000000,0.000000,37.125000,24.000000,55.000000,0.375825,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
118,0.000600,11.000000,0.000000,37.906250,25.000000,61.000000,0.000000,37.906250,25.000000,61.000000,0.575015,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
119,0.000400,11.000000,0.000000,36.562500,24.000000,56.000000,0.000000,36.562500,24.000000,56.000000,0.416827,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
120,0.000500,11.000000,0.000000,35.125000,24.000000,59.000000,0.000000,35.125000,24.000000,59.000000,0.491629,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
121,0.000400,11.000000,0.000000,38.593750,24.000000,73.000000,0.000000,38.593750,24.000000,73.000000,0.381420,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
122,0.000400,11.000000,0.000000,39.687500,24.000000,60.000000,0.000000,39.687500,24.000000,60.000000,0.479673,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
123,0.000600,11.000000,0.000000,31.281250,22.000000,42.000000,0.000000,31.281250,22.000000,42.000000,0.584847,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
124,0.000400,11.000000,0.000000,35.843750,25.000000,54.000000,0.000000,35.843750,25.000000,54.000000,0.414113,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
125,0.000400,11.000000,0.000000,36.750000,24.000000,57.000000,0.000000,36.750000,24.000000,57.000000,0.460874,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
126,0.000400,11.000000,0.000000,37.250000,24.000000,56.000000,0.000000,37.250000,24.000000,56.000000,0.468575,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
127,0.000500,11.000000,0.000000,36.000000,24.000000,55.000000,0.000000,36.000000,24.000000,55.000000,0.512036,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
128,0.000500,11.000000,0.000000,33.187500,23.000000,49.000000,0.000000,33.187500,23.000000,49.000000,0.511453,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
129,0.028300,10.906250,0.265165,34.687500,24.000000,49.000000,0.000000,34.687500,24.000000,49.000000,0.426689,3.000000,0.000000,2.000000,0.000000,4.406250,0.530330,1.500000,0.000000
130,0.000300,11.000000,0.000000,36.125000,24.000000,59.000000,0.000000,36.125000,24.000000,59.000000,0.336662,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
131,0.000600,11.000000,0.000000,33.625000,24.000000,52.000000,0.000000,33.625000,24.000000,52.000000,0.645226,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
132,0.000400,11.000000,0.000000,32.531250,23.000000,58.000000,0.000000,32.531250,23.000000,58.000000,0.396364,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
133,0.003000,11.000000,0.000000,34.250000,24.000000,68.000000,0.000000,34.250000,24.000000,68.000000,2.642441,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
134,0.000500,11.000000,0.000000,29.343750,22.000000,53.000000,0.000000,29.343750,22.000000,53.000000,0.472818,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
135,0.000400,11.000000,0.000000,33.375000,24.000000,66.000000,0.000000,33.375000,24.000000,66.000000,0.416594,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
136,0.000500,11.000000,0.000000,35.187500,24.000000,64.000000,0.000000,35.187500,24.000000,64.000000,0.487534,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
137,0.000500,11.000000,0.000000,32.593750,24.000000,43.000000,0.000000,32.593750,24.000000,43.000000,0.491143,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
138,0.000500,11.000000,0.000000,31.687500,24.000000,56.000000,0.000000,31.687500,24.000000,56.000000,0.512761,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
